Year/Month,County,Unemployment Rate,National Unemployment,State Unemployment
01/01/1990,Whitman County                                              ,1.8%,6%,6.1%
01/01/1990,Kennewick-Richland-Pasco MSA                                ,9.6%,6%,6.1%
01/01/1990,Mount Vernon-Anacortes MSA                                  ,8.7%,6%,6.1%
01/01/1990,Franklin County                                             ,13.6%,6%,6.1%
01/01/1990,San Juan County                                             ,4.8%,6%,6.1%
01/01/1990,Lincoln County                                              ,5.1%,6%,6.1%
01/01/1990,Garfield County                                             ,5.7%,6%,6.1%
01/01/1990,Olympia MSA                                                 ,5.5%,6%,6.1%
01/01/1990,Klickitat County                                            ,18.2%,6%,6.1%
01/01/1990,Thurston County                                             ,5.5%,6%,6.1%
01/01/1990,Asotin County                                               ,6.2%,6%,6.1%
01/01/1990,Jefferson County                                            ,6.5%,6%,6.1%
01/01/1990,Seattle-Bellevue-Everett MSA                                ,4.5%,6%,6.1%
01/01/1990,Chelan County                                               ,10%,6%,6.1%
01/01/1990,Spokane MSA                                                 ,6.6%,6%,6.1%
01/01/1990,Mason County                                                ,6.8%,6%,6.1%
01/01/1990,Tacoma MSA                                                  ,5%,6%,6.1%
01/01/1990,Skagit County                                               ,8.7%,6%,6.1%
01/01/1990,Whatcom County                                              ,6.3%,6%,6.1%
01/01/1990,Bremerton-Silverdale MSA                                    ,4.1%,6%,6.1%
01/01/1990,Bellingham MSA                                              ,6.3%,6%,6.1%
01/01/1990,Stevens County                                              ,9.2%,6%,6.1%
01/01/1990,Walla Walla County                                          ,10.1%,6%,6.1%
01/01/1990,Wenatchee MSA                                               ,9.6%,6%,6.1%
01/01/1990,Ferry County                                                ,15.1%,6%,6.1%
01/01/1990,Cowlitz County                                              ,7.9%,6%,6.1%
01/01/1990,Yakima MSA                                                  ,15.7%,6%,6.1%
01/01/1990,King County                                                 ,4.3%,6%,6.1%
01/01/1990,Wahkiakum County                                            ,8.8%,6%,6.1%
01/01/1990,Pend Oreille County                                         ,16.8%,6%,6.1%
01/01/1990,Okanogan County                                             ,11.8%,6%,6.1%
01/01/1990,Kitsap County                                               ,4.1%,6%,6.1%
01/01/1990,Spokane County                                              ,6.6%,6%,6.1%
01/01/1990,Clark County                                                ,4.8%,6%,6.1%
01/01/1990,Clallam County                                              ,8.8%,6%,6.1%
01/01/1990,Adams County                                                ,15.6%,6%,6.1%
01/01/1990,Kittitas County                                             ,8.7%,6%,6.1%
01/01/1990,Benton County                                               ,8.3%,6%,6.1%
01/01/1990,Longview MSA                                                ,7.9%,6%,6.1%
01/01/1990,Island County                                               ,3.9%,6%,6.1%
01/01/1990,Grays Harbor County                                         ,11.5%,6%,6.1%
01/01/1990,Grant County                                                ,11%,6%,6.1%
01/01/1990,Douglas County                                              ,8.8%,6%,6.1%
01/01/1990,Pacific County                                              ,10.3%,6%,6.1%
01/01/1990,Pierce County                                               ,5%,6%,6.1%
01/01/1990,Yakima County                                               ,15.7%,6%,6.1%
01/01/1990,Lewis County                                                ,10.3%,6%,6.1%
01/01/1990,Columbia County                                             ,17.5%,6%,6.1%
